"School.Name","Principal","Grades","Division.Schools","Street.Adress.and.Phone.Number","Phone.Number","City","Zip","State"
"Fauquier High","Mr. Kraig Kelican","06-08","Fauquier County Public Schools","705 Waterloo Rd","540-347-6100","Warrenton","20186","VA"
"Featherstone Elementary","Daria Groover","09-12","Prince William County Public Schools","14805 Blackburn Rd","703-491-1156","Woodbridge","22191","VA"
"Ferdinand T. Day Elementary","Rachael Dischner","06-08","Alexandria Public Schools","1701 N Beauregard Street","703-619-8125","Alexandria","22311","VA"
"Ferrum Elementary","Ms. Jennifer Talley","06-08","Franklin County Public Schools","660 Ferrum Rd","540-365-7194","Ferrum","24088","VA"
"Ferry Farm Elementary","Mr. Robert D. Freeman","06-08","Stafford County Public Schools","20 Pendleton Rd","540-373-7366","Fredericksburg","22405","VA"
"Fieldale-Collinsville Middle","Ms. Franketta Tatum","09-12","Henry County Public Schools","645 Miles Road","276-647-3841","Collinsville","24078","VA"
"First Colonial High","Dr. Nancy Farrell","09-12","Virginia Beach Public Schools","1272 Mill Dam Rd","757-648-5300","Virginia Beach","23454-2322","VA"
"Fishburn Park Elementary","Ms. Tammy Sauls","09-12","Roanoke Public Schools","3057 Colonial Ave SW","540-853-2931","Roanoke","24015","VA"
"Flat Rock Elementary","Mrs. Tanja Nelson","09-12","Powhatan County Public Schools","2210 Batterson Road","804-598-5743","Powhatan","23139","VA"
"Flatwoods Elementary","Mrs. Dawn Crabtree","06-08","Lee County Public Schools","205 Flatwoods School Road","276-346-2799","Jonesville","24263","VA"
"Flint Hill Elementary","Jennifer Hertzberg","09-12","Fairfax County Public Schools","2444 Flint Hill Rd","703-242-6100","Vienna","22181","VA"
"Florence Bowser Elementary","Ms. Melodie Griffin","06-08","Suffolk Public Schools","4540 Nansemond Pkwy","757-923-4106","Suffolk","23435","VA"
"Floris Elementary","Holly Walker","06-08","Fairfax County Public Schools","2708 Centreville Rd","703-561-2900","Herndon","20171-3599","VA"
"Floyd County High","Mr. Barry Hollandsworth","06-08","Floyd County Public Schools","721 Baker St. SW","540-745-9450","Floyd","24091","VA"
"Floyd Elementary","Jason Wheeler","09-12","Floyd County Public Schools","531 Oak Hill Drive","540-745-9440","Floyd","24091","VA"
"Floyd Kellam High","Mr. Ryan C. Schubart","09-12","Virginia Beach Public Schools","2665 West Neck Road","757-648-5100","Virginia Beach","23456","VA"
"Floyd T. Binns Middle","Mr. Nathan Bopp","02-04","Culpeper County Public Schools","205 Grandview Ave.","540-829-6894","Culpeper","22701","VA"
"Fluvanna County High","Mrs. Margo Bruce","09-12","Fluvanna County Public Schools","1918 Thomas Jefferson Parkway","434-589-3666","Palmyra","22963","VA"
"Fluvanna Middle","Lara Dugolinsky","06-08","Fluvanna County Public Schools","3717 Central Plains Road","434-510-1000","Palmyra","22963","VA"
"Forest Edge Elementary","Jillian Zuber","03-05","Fairfax County Public Schools","1501 Beacontree Ln","703-925-8000","Reston","20190","VA"
"Forest Elementary","Mrs. Lorri B. Manley","09-12","Bedford County Public Schools","One Scholar Lane","434-525-2681","Forest","24551","VA"
"Forest Glen Middle","Ms. Jennifer K. Presson","06-08","Suffolk Public Schools","200 Forest Glen Dr","757-925-5780","Suffolk","23434","VA"
"Forest Grove Elementary","Rhonda Lopez","06-08","Loudoun County Public Schools","46245 Forest Ridge Dr.","703-434-4560","Sterling","20164","VA"
"Forest Hills Elementary","Mr. James Kirkpatrick","03-05","Danville Public Schools","155 Mountain View Ave","434-799-6430","Danville","24541","VA"
"Forest Middle","Dr. Donnie Norman","09-12","Bedford County Public Schools","100 Ashwood Dr","434-525-6630","Forest","24551","VA"
"Forest Park High","Richard Martinez","06-08","Prince William County Public Schools","15721 Forest Park Drive","703-583-3200","Woodbridge","22193","VA"
"Forestdale Elementary","Jennifer Cunneen","09-12","Fairfax County Public Schools","6530 Elder Ave","703-313-4300","Springfield","22150","VA"
"Forestville Elementary","Donald Washington","09-12","Fairfax County Public Schools","1085 Utterback Store Rd","703-404-6000","Great Falls","22066","VA"
"Fort Belvoir Elementary","Margo Pareja","09-12","Fairfax County Public Schools","5980 Meeres Rd","703-781-2700","Fort Belvoir","22060","VA"
"Fort Belvoir Upper Elementary","Jamey Chianetta","09-12","Fairfax County Public Schools","5970 Meeres Road","571-982-1300","Fort Belvoir","22060","VA"
"Fort Blackmore Primary","Mrs. Jennifer Meade","09-12","Scott County Public Schools","214 Big Stoney Creek Road","276-995-2471","Fort Blackmore","24250","VA"
"Fort Chiswell High","Mr. Michael Souma","06-08","Wythe County Public Schools","#1 Pioneer Trail","276-637-3437","Max Meadows","24360","VA"
"Fort Chiswell Middle","Mrs. Tammy J. Watson","06-08","Wythe County Public Schools","101 Pioneer Trail","276-637-4400","Max Meadows","24360","VA"
"Fort Defiance High","Raymond Alan Shull","05-07","Augusta County Public Schools","195 Fort Defiance Rd","540-245-5050","Fort Defiance","24437","VA"
"Fort Hunt Elementary","Timothy Slayter","06-08","Fairfax County Public Schools","8832 Linton Ln","703-619-2600","Alexandria","22308","VA"
"Fort Lewis Elementary","Kim Smith","06-08","Roanoke County Public Schools","3115 West Main St","540-387-6594","Salem","24153","VA"
"Fox Mill Elementary","Brian Moose","07-08","Fairfax County Public Schools","2611 Viking Dr","703-262-2700","Herndon","20171-2498","VA"
"Frances Hazel Reid Elementary","Brenda Jochems","09-12","Loudoun County Public Schools","800 N. King St.","571-252-2050","Leesburg","20176","VA"
"Francis Asbury Elementary","Ms. Marye E. Werling","09-12","Hampton Public Schools","140 Beach Rd","757-850-5075","Hampton","23664","VA"
"Francis C. Hammond Middle","Pierrette Peters","06-08","Alexandria Public Schools","4646 Seminary Road","703-461-4100","Alexandria","22304","VA"
"Francis W. Jones Magnet Middle","Ms. Sharon S. Slater","08-12","Hampton Public Schools","1819 Nickerson Blvd","757-850-7900","Hampton","23663","VA"
"Franconia Elementary","Andrew Smith","09-12","Fairfax County Public Schools","6301 Beulah St","703-822-2200","Alexandria","22310","VA"
"Frank W. Cox High","Dr. Michael D. Kelly","01-08","Virginia Beach Public Schools","2425 Shorehaven Dr","757-648-5250","Virginia Beach","23454-1749","VA"
"Franklin County High","Mr. Jonathan Crutchfield","06-08","Franklin County Public Schools","700 Tanyard Rd","540-483-0221","Rocky Mount","24151","VA"
"Franklin High","Mr. Travis Felts","06-08","Franklin Public Schools","310 Crescent Drive","757-562-5187","Franklin","23851","VA"
"Franklin Middle","Dustin Wright","09-12","Fairfax County Public Schools","3300 Lees Corner Rd","703-904-5100","Chantilly","20151-3100","VA"
"Franklin Military Academy","Mr. David A. Hudson","09-12","Richmond Public Schools","701 North 37th Street","804-780-4968","Richmond","23223","VA"
"Fred M. Lynn Middle","Mr. Hamish Brewer","09-12","Prince William County Public Schools","1650 Prince William Parkway","703-494-5157","Woodbridge","22191","VA"
"Frederick County Middle","Mr. Jerry Putt","08-12","Frederick County Public Schools","4661 North Frederick Pike","540-667-4233","Winchester","22603","VA"
"Frederick Douglass Elementary","Melissa Logan","06-12","Loudoun County Public Schools","510 Principal Drummond Way, SE","571-252-1920","Leesburg","20175","VA"
"Frederick Douglass Elementary","Stephanie Downey","06-08","Winchester Public Schools","100 Cedarmeade Ave","540-662-7656","Winchester","22601","VA"
"Freedom High","Neelum Chaudhry","09-12","Loudoun County Public Schools","25450 Riding Center Drive","703-957-4300","South Riding","20152","VA"
"Freedom High","Inez Bryant","07-08","Prince William County Public Schools","15201 Neabsco Mills Rd.","703-583-1405","Woodbridge","22191","VA"
"Freedom Hill Elementary","Nicholas Zapadka","09-12","Fairfax County Public Schools","1945 Lord Fairfax Rd","703-506-7800","Vienna","22182","VA"
"Freedom Middle","Eric Wright","06-08","Spotsylvania County Public Schools","7315 Smith Station Rd.","540-548-1030","Fredericksburg","22407","VA"
"Fries Elementary","Mr. Michael Reavis","09-12","Grayson County Public Schools","114 E Main St","276-744-7201","Fries","24330","VA"
"Frost Middle","Anthony Harris","06-08","Fairfax County Public Schools","4101 Pickett Rd","703-426-5700","Fairfax","22032","VA"
"Fulks Run Elementary","Ms. Alisa Sims","09-12","Rockingham County Public Schools","11089 Brocks Gap Rd","540-896-7635","Fulks Run","22830","VA"
"G.A. Treakle Elementary","Mrs. Deirdre A. Williams","09-12","Chesapeake Public Schools","2500 Gilmerton Rd","757-558-5361","Chesapeake","23323","VA"
"G.H. Reid Elementary","Ms. Angela Delaney","09-12","Richmond Public Schools","1301 Whitehead Rd","804-745-3550","Richmond","23225-7299","VA"
"G.L.H. Johnson Elementary","Kevin Bowman","09-12","Danville Public Schools","680 Arnett Blvd","434-799-6433","Danville","24540","VA"
"G.W. Carver Elementary","Mr. Luke Boone","09-12","Henry County Public Schools","220 Trott Circle","276-957-2226","Martinsville","24112","VA"
"G.W. Carver Elementary","Mrs. Kristyn Schmidt","06-08","Salem Public Schools","6 Fourth St","540-387-2492","Salem","24153-5079","VA"
"Gainesboro Elementary","Patricia Black","09-12","Frederick County Public Schools","4651 N Frederick Pike","540-888-4550","Winchester","22603","VA"
"Gainesville High","Neil Beech","09-12","Prince William County Public Schools","13150 University Boulevard","571-248-3200","Gainesville","20155","VA"
"Gainesville Middle","Mary Kathryn Graham","09-12","Prince William County Public Schools","8001 Limestone Dr","703-753-2997","Gainesville","20155","VA"
"Galax Elementary","Michelle Garvey","06-08","Galax Public Schools","300 McArthur Street","276-236-6159","Galax","24333","VA"
"Galax High","Mr. Charles Byrd","09-12","Galax Public Schools","200 Maroon Tide Dr","276-236-2991","Galax","24333","VA"
"Galax Middle","Mr. Justin P. Iroler","08-12","Galax Public Schools","202 Maroon Tide Dr","276-236-6124","Galax","24333","VA"
"Galileo Magnet High","Ms. Angela Michelle Ramsey","06-08","Danville Public Schools","230 S. Ridge St.","434-773-8186","Danville","24541","VA"
"Garden City Elementary","Ms. Jill Lane","06-08","Roanoke Public Schools","3718 Garden City Blvd SE","540-853-2971","Roanoke","24014","VA"
"Garfield Elementary","April Cage","06-08","Fairfax County Public Schools","7101 Old Keene Mill Rd","703-923-2900","Springfield","22150","VA"
"Gar-Field High","Mr. Matthew Mathison","09-12","Prince William County Public Schools","14000 Smoketown Rd","703-730-7000","Woodbridge","22192","VA"
"Garland R. Quarles Elementary","Joan Hovatter","09-12","Winchester Public Schools","1310 S Loudoun St","540-662-3575","Winchester","22601","VA"
"Garrisonville Elementary","Ms. Alexis M. White","06-08","Stafford County Public Schools","100 Wood Dr","540-658-6260","Stafford","22556","VA"
"Gate City High","Mr. Scott Vermillion","06-08","Scott County Public Schools","178 Harry Fry Dr.","276-386-7522","Gate City","24251","VA"
"Gate City Middle","Dr. Amy Sallee","06-08","Scott County Public Schools","170 Harry Fry Drive","276-386-6065","Gate City","24251","VA"
"Gayton Elementary","Dr. Kirk B. Eggleston","06-08","Henrico County Public Schools","12481 Church Rd","804-360-0820","Richmond","23233","VA"
"General Stanford Elementary","Elizabeth Galbreath","PK-5","Newport News Public Schools","929 Madison Ave.","757-888-3200","Ft. Eustis","23604","VA"
"George Carr Round Elementary","Mr. Andrew Wilson","PK-4","Manassas Public Schools","10100 Hastings Dr","571-377-6400","Manassas","20110-6092","VA"
"George F. Baker Elementary","Lauren M. Bischoff","PK-5","Henrico County Public Schools","6651 Willson Rd","804-226-8755","Richmond","23231","VA"
"George G. Tyler Elementary","Ms. Jennifer Perilla","PK-5","Prince William County Public Schools","14500 John Marshall Hwy","703-754-7181","Gainesville","20155","VA"
"George H. Moody Middle","Denise W. Doss","06-08","Henrico County Public Schools","7800 Woodman Rd","804-261-5015","Richmond","23228","VA"
"George J. McIntosh Elementary","Ms. Ethel Francis","06-08","Newport News Public Schools","185 Richneck Rd","757-886-7767","Newport News","23608","VA"
"George M. Hampton Middle","Ms. Jehovanni Mitchell","09-12","Prince William County Public Schools","16950 McGuffeys Trail","703-670-6166","Woodbridge","22191","VA"
"George Mason Elementary","Seazante Oliver","06-08","Alexandria Public Schools","2601 Cameron Mills Rd","703-706-4470","Alexandria","22302","VA"
"George P. Mullen Elementary","Ms. Rhonda Ellington","06-08","Prince William County Public Schools","8000 Rodes Dr","703-330-0427","Manassas","20109","VA"
"George P. Phenix Elementary","Ms. Robin L. Hunt-Crenshaw","07-08","Hampton Public Schools","1061 Big Bethel Road","757-268-3500","Hampton","23666","VA"
"George W. Carver Elementary","Tiawana Giles","09-12","Richmond Public Schools","1110 W Leigh St","804-780-6247","Richmond","23220-3199","VA"
"George W. Carver Intermediate","Mrs. Michelle A. Ferebee","09-12","Chesapeake Public Schools","2601 Broad St","757-494-7505","Chesapeake","23324","VA"
"George W. Watkins Elementary","Mr. Russ Macomber","06-08","New Kent County Public Schools","6501 New Kent Hwy","804-966-9660","Quinton","23141","VA"
"George Washington High","Dr. Johnnie Wright","09-12","Danville Public Schools","701 Broad St","434-799-6410","Danville","24541","VA"
"George Washington Middle","Jesse Mazur","09-12","Alexandria Public Schools","1005 Mount Vernon Avenue","703-706-4500","Alexandria","22301","VA"
"George Wythe High","Riddick T Parker Jr.","08-12","Richmond Public Schools","4314 Crutchfield St","804-780-5037","Richmond","23225-4767","VA"
"George Wythe High","Mrs. Kimberly S. Ingo","09-12","Wythe County Public Schools","1 Maroon Way","276-228-3157","Wytheville","24382","VA"
"Georgetown Primary","Ms. Pamela D. Laster","09-12","Chesapeake Public Schools","436 Providence Rd","757-578-7060","Chesapeake","23325","VA"
"Georgie D. Tyler Middle","Dawn Carroll","09-12","Isle of Wight County Public Schools","23320 N. Court St.","757-242-3229","Windsor","23487","VA"
"Ghent K-8","Dr. Danielle Belton","09-12","Norfolk Public Schools","200 Shirley Ave","757-628-2565","Norfolk","23517","VA"
"Gilbert Linkous Elementary","Michelle Flynn","05-08","Montgomery County Public Schools","813 Toms Creek Rd","540-951-5726","Blacksburg","24060","VA"
"Giles High","Mrs. Shelly Boggess","07-08","Giles County Public Schools","1825 Wenonah Avenue","540-921-1711","Pearisburg","24134","VA"
"Glade Hill Elementary","Mrs. Kimberly Poindexter","09-12","Franklin County Public Schools","8081 Old Franklin Turnpike","540-576-3010","Glade Hill","24092","VA"
"Glade Spring Middle","Mr. Andrew Hockett","06-08","Washington County Public Schools","33474 Stage Coach Rd","276-739-3800","Glade Spring","24340","VA"
"Gladesboro Elementary","Dr. Jeanne Edwards-GBES","01-08","Carroll County Public Schools","7845 Snake Creek","276-398-2493","Hillsville","24343","VA"
"Gladeville Elementary","Ms. Teresa B. Taylor","06-08","Carroll County Public Schools","3117 Glendale Rd","276-236-5449","Galax","24333","VA"
"Glasgow Middle","Victor Powell","06-08","Fairfax County Public Schools","4101 Fairfax Pkwy","703-813-8700","Alexandria","22312","VA"
"Glebe Elementary","Ms. Jamie Borg","06-12","Arlington County Public Schools","1770 N. Glebe Road","703-228-6280","Arlington","22207","VA"
"Glen Allen Elementary","Melissa R. Halquist-Pruden","09-12","Henrico County Public Schools","11101 Mill Rd","804-756-3040","Glen Allen","23060","VA"
"Glen Allen High","Reginald V. Davenport","09-12","Henrico County Public Schools","10700 Staples Mill Road","804-501-3300","Glen Allen","23060","VA"
"Glen Cove Elementary","William Krause","06-08","Roanoke County Public Schools","5901 Cove Rd","540-561-8135","Roanoke","24019","VA"
"Glen Forest Elementary","Diane L Herndon-Wilson","02-04","Fairfax County Public Schools","5829 Glen Forest Dr","703-578-8000","Falls Church","22041","VA"
"Glen Lea Elementary","Tomeka Y. Campbell","06-08","Henrico County Public Schools","3909 Austin Ave","804-228-2725","Richmond","23222","VA"
"Glenkirk Elementary","Ms. Marisa Miranda","06-08","Prince William County Public Schools","8584 Sedge Wren Drive","703-753-1702","Gainesville","20155","VA"
"Glenvar Elementary","Matthew Johnson","09-12","Roanoke County Public Schools","4507 Malus Dr","540-387-6540","Salem","24153","VA"
