"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"Greensville County Public Schools","White","Greensville County High",97.6,100
"Halifax County Public Schools","All Students","Halifax County High",93,93
"Halifax County Public Schools","Black","Halifax County High",91.8,91.8
"Halifax County Public Schools","Economically Disadvantaged","Halifax County High",88.5,88.5
"Halifax County Public Schools","Female","Halifax County High",95.9,95.9
"Halifax County Public Schools","Hispanic","Halifax County High",85.7,85.7
"Halifax County Public Schools","Male","Halifax County High",89.4,89.4
"Halifax County Public Schools","Multiple Races","Halifax County High",100,100
"Halifax County Public Schools","Students with Disabilities","Halifax County High",90.9,90.9
"Halifax County Public Schools","White","Halifax County High",94.2,94.2
"Hampton City Public Schools","All Students","Bethel High",97.4,98.6
"Hampton City Public Schools","Black","Bethel High",98.3,98.6
"Hampton City Public Schools","Economically Disadvantaged","Bethel High",97.2,98.6
"Hampton City Public Schools","Female","Bethel High",97.3,98.2
"Hampton City Public Schools","Hispanic","Bethel High",93.5,96.8
"Hampton City Public Schools","Male","Bethel High",97.5,99
"Hampton City Public Schools","Military Connected","Bethel High",100,100
"Hampton City Public Schools","Multiple Races","Bethel High",100,100
"Hampton City Public Schools","Students with Disabilities","Bethel High",97.4,100
"Hampton City Public Schools","White","Bethel High",94.8,98.7
"Hampton City Public Schools","All Students","Hampton High",95.9,96.6
"Hampton City Public Schools","Asian","Hampton High",100,100
"Hampton City Public Schools","Black","Hampton High",95,96
"Hampton City Public Schools","Economically Disadvantaged","Hampton High",94.6,95.9
"Hampton City Public Schools","English Learners","Hampton High",95,95
"Hampton City Public Schools","Female","Hampton High",96.3,97.4
"Hampton City Public Schools","Hispanic","Hampton High",100,100
"Hampton City Public Schools","Male","Hampton High",95.4,95.9
"Hampton City Public Schools","Military Connected","Hampton High",100,100
"Hampton City Public Schools","Multiple Races","Hampton High",100,100
"Hampton City Public Schools","Students with Disabilities","Hampton High",98.2,98.2
"Hampton City Public Schools","White","Hampton High",100,100
"Hampton City Public Schools","All Students","Kecoughtan High",95.5,98.1
"Hampton City Public Schools","Asian","Kecoughtan High",100,100
"Hampton City Public Schools","Black","Kecoughtan High",93.1,97.1
"Hampton City Public Schools","Economically Disadvantaged","Kecoughtan High",93.6,96.5
"Hampton City Public Schools","Female","Kecoughtan High",93.7,97.1
"Hampton City Public Schools","Hispanic","Kecoughtan High",100,100
"Hampton City Public Schools","Male","Kecoughtan High",97.2,99.1
"Hampton City Public Schools","Military Connected","Kecoughtan High",100,100
"Hampton City Public Schools","Multiple Races","Kecoughtan High",90.9,90.9
"Hampton City Public Schools","Students with Disabilities","Kecoughtan High",94.1,98
"Hampton City Public Schools","White","Kecoughtan High",97.2,99.4
"Hampton City Public Schools","All Students","Phoebus High",95.4,95.8
"Hampton City Public Schools","Black","Phoebus High",95,95.6
"Hampton City Public Schools","Economically Disadvantaged","Phoebus High",94.6,94.6
"Hampton City Public Schools","Female","Phoebus High",94.2,94.2
"Hampton City Public Schools","Hispanic","Phoebus High",100,100
"Hampton City Public Schools","Male","Phoebus High",96.4,97.1
"Hampton City Public Schools","Multiple Races","Phoebus High",100,100
"Hampton City Public Schools","Students with Disabilities","Phoebus High",100,100
"Hampton City Public Schools","White","Phoebus High",93.5,93.5
"Hanover County Public Schools","All Students","Atlee High",96.7,97.4
"Hanover County Public Schools","Asian","Atlee High",94.1,94.1
"Hanover County Public Schools","Black","Atlee High",100,100
"Hanover County Public Schools","Economically Disadvantaged","Atlee High",91.7,93.8
"Hanover County Public Schools","Female","Atlee High",96.9,97.4
"Hanover County Public Schools","Male","Atlee High",96.4,97.5
"Hanover County Public Schools","Students with Disabilities","Atlee High",85.7,89.3
"Hanover County Public Schools","White","Atlee High",96.8,97.8
"Hanover County Public Schools","All Students","Hanover High",95.9,96.8
"Hanover County Public Schools","Asian","Hanover High",100,100
"Hanover County Public Schools","Black","Hanover High",100,100
"Hanover County Public Schools","Economically Disadvantaged","Hanover High",97.2,97.2
"Hanover County Public Schools","Female","Hanover High",97.7,97.7
"Hanover County Public Schools","Hispanic","Hanover High",100,100
"Hanover County Public Schools","Male","Hanover High",93.7,95.8
"Hanover County Public Schools","Multiple Races","Hanover High",100,100
"Hanover County Public Schools","Students with Disabilities","Hanover High",89.6,91.7
"Hanover County Public Schools","White","Hanover High",94.8,96
"Hanover County Public Schools","All Students","Mechanicsville High",96,96.9
"Hanover County Public Schools","Asian","Mechanicsville High",100,100
"Hanover County Public Schools","Black","Mechanicsville High",89.3,89.3
"Hanover County Public Schools","Economically Disadvantaged","Mechanicsville High",90.8,93.4
"Hanover County Public Schools","Female","Mechanicsville High",96.6,97.8
"Hanover County Public Schools","Hispanic","Mechanicsville High",91.7,91.7
"Hanover County Public Schools","Male","Mechanicsville High",95.3,95.9
"Hanover County Public Schools","Multiple Races","Mechanicsville High",100,100
"Hanover County Public Schools","Students with Disabilities","Mechanicsville High",85.4,85.4
"Hanover County Public Schools","White","Mechanicsville High",96.5,97.6
"Hanover County Public Schools","All Students","Patrick Henry High",95.2,95.8
"Hanover County Public Schools","Black","Patrick Henry High",95.7,97.8
"Hanover County Public Schools","Economically Disadvantaged","Patrick Henry High",91.2,92.2
"Hanover County Public Schools","Female","Patrick Henry High",94.3,95.3
"Hanover County Public Schools","Hispanic","Patrick Henry High",87.5,87.5
"Hanover County Public Schools","Male","Patrick Henry High",96.2,96.2
"Hanover County Public Schools","Multiple Races","Patrick Henry High",88.2,88.2
"Hanover County Public Schools","Students with Disabilities","Patrick Henry High",93,95.3
"Hanover County Public Schools","White","Patrick Henry High",96.8,96.8
"Harrisonburg City Public Schools","All Students","Harrisonburg High",88.1,89.7
"Harrisonburg City Public Schools","Asian","Harrisonburg High",100,100
"Harrisonburg City Public Schools","Black","Harrisonburg High",91.8,93.4
"Harrisonburg City Public Schools","Economically Disadvantaged","Harrisonburg High",87.6,89.5
"Harrisonburg City Public Schools","English Learners","Harrisonburg High",76.8,78.5
"Harrisonburg City Public Schools","Female","Harrisonburg High",92.4,94.2
"Harrisonburg City Public Schools","Hispanic","Harrisonburg High",81.5,83.3
"Harrisonburg City Public Schools","Male","Harrisonburg High",84.3,85.9
"Harrisonburg City Public Schools","Multiple Races","Harrisonburg High",94.1,94.1
"Harrisonburg City Public Schools","Students with Disabilities","Harrisonburg High",88.6,90.9
"Harrisonburg City Public Schools","White","Harrisonburg High",94.1,96.1
"Henrico County Public Schools","All Students","Deep Run High",99.1,99.1
"Henrico County Public Schools","Asian","Deep Run High",100,100
"Henrico County Public Schools","Black","Deep Run High",96.8,96.8
"Henrico County Public Schools","Economically Disadvantaged","Deep Run High",97.1,97.1
"Henrico County Public Schools","Female","Deep Run High",99,99
"Henrico County Public Schools","Hispanic","Deep Run High",94.4,94.4
"Henrico County Public Schools","Male","Deep Run High",99.1,99.1
"Henrico County Public Schools","Multiple Races","Deep Run High",100,100
"Henrico County Public Schools","Students with Disabilities","Deep Run High",90.5,90.5
"Henrico County Public Schools","White","Deep Run High",99.3,99.3
"Henrico County Public Schools","All Students","Douglas S. Freeman High",92.1,93
"Henrico County Public Schools","Asian","Douglas S. Freeman High",93.3,93.3
"Henrico County Public Schools","Black","Douglas S. Freeman High",91.5,91.5
"Henrico County Public Schools","Economically Disadvantaged","Douglas S. Freeman High",91.6,92.3
"Henrico County Public Schools","English Learners","Douglas S. Freeman High",70.4,70.4
"Henrico County Public Schools","Female","Douglas S. Freeman High",96.3,96.3
"Henrico County Public Schools","Hispanic","Douglas S. Freeman High",75.8,77.3
"Henrico County Public Schools","Male","Douglas S. Freeman High",88.5,90.1
"Henrico County Public Schools","Multiple Races","Douglas S. Freeman High",100,100
"Henrico County Public Schools","Students with Disabilities","Douglas S. Freeman High",86.3,90.2
"Henrico County Public Schools","White","Douglas S. Freeman High",95.5,96.6
"Henrico County Public Schools","All Students","Glen Allen High",97.1,97.1
"Henrico County Public Schools","Asian","Glen Allen High",97.6,97.6
"Henrico County Public Schools","Black","Glen Allen High",95.2,95.2
"Henrico County Public Schools","Economically Disadvantaged","Glen Allen High",93.6,93.6
"Henrico County Public Schools","English Learners","Glen Allen High",81.3,81.3
"Henrico County Public Schools","Female","Glen Allen High",97.2,97.2
"Henrico County Public Schools","Hispanic","Glen Allen High",91.4,91.4
"Henrico County Public Schools","Male","Glen Allen High",97,97
"Henrico County Public Schools","Multiple Races","Glen Allen High",100,100
"Henrico County Public Schools","Students with Disabilities","Glen Allen High",94.7,94.7
"Henrico County Public Schools","White","Glen Allen High",98.1,98.1
"Henrico County Public Schools","All Students","Henrico High",86.6,87.3
"Henrico County Public Schools","Asian","Henrico High",98,98
"Henrico County Public Schools","Black","Henrico High",84.1,84.7
"Henrico County Public Schools","Economically Disadvantaged","Henrico High",82.5,83.8
"Henrico County Public Schools","Female","Henrico High",89.7,89.7
"Henrico County Public Schools","Hispanic","Henrico High",78.6,78.6
"Henrico County Public Schools","Homeless","Henrico High",66.7,73.3
"Henrico County Public Schools","Male","Henrico High",82.4,84
"Henrico County Public Schools","Multiple Races","Henrico High",82.4,82.4
"Henrico County Public Schools","Students with Disabilities","Henrico High",88.9,90.3
"Henrico County Public Schools","White","Henrico High",93.9,95.9
"Henrico County Public Schools","All Students","Hermitage High",86.5,87.4
"Henrico County Public Schools","Asian","Hermitage High",95.8,95.8
"Henrico County Public Schools","Black","Hermitage High",92.1,92.7
"Henrico County Public Schools","Economically Disadvantaged","Hermitage High",84.6,85.8
"Henrico County Public Schools","English Learners","Hermitage High",59.7,61.3
"Henrico County Public Schools","Female","Hermitage High",88.2,88.6
"Henrico County Public Schools","Hispanic","Hermitage High",63.9,65.3
"Henrico County Public Schools","Male","Hermitage High",85,86.3
"Henrico County Public Schools","Multiple Races","Hermitage High",86.7,86.7
"Henrico County Public Schools","Students with Disabilities","Hermitage High",91.2,94.1
"Henrico County Public Schools","White","Hermitage High",88.5,89.9
"Henrico County Public Schools","All Students","Highland Springs High",83.5,85
"Henrico County Public Schools","Black","Highland Springs High",83.5,85.3
"Henrico County Public Schools","Economically Disadvantaged","Highland Springs High",80.2,82.2
"Henrico County Public Schools","English Learners","Highland Springs High",53.8,53.8
"Henrico County Public Schools","Female","Highland Springs High",85.9,86.8
"Henrico County Public Schools","Hispanic","Highland Springs High",65.2,65.2
"Henrico County Public Schools","Homeless","Highland Springs High",72.7,72.7
"Henrico County Public Schools","Male","Highland Springs High",81.3,83.3
"Henrico County Public Schools","Multiple Races","Highland Springs High",92.9,92.9
"Henrico County Public Schools","Students with Disabilities","Highland Springs High",72.9,74.8
