"Division","School","Subgroup","Percent.Below.10","Percent.above.10"
"Bristol City Public Schools","Washington-Lee Elementary","Female",88,12
"Bristol City Public Schools","Washington-Lee Elementary","Hispanic",70,30
"Bristol City Public Schools","Washington-Lee Elementary","Homeless",NA,NA
"Bristol City Public Schools","Washington-Lee Elementary","Male",86.1,13.9
"Bristol City Public Schools","Washington-Lee Elementary","Multiple Races",76.5,23.5
"Bristol City Public Schools","Washington-Lee Elementary","Students with Disabilities",80.6,19.4
"Bristol City Public Schools","Washington-Lee Elementary","White",89.3,10.7
"Brunswick County Public Schools","Brunswick High","All Students",78.7,21.3
"Brunswick County Public Schools","Brunswick High","American Indian",NA,NA
"Brunswick County Public Schools","Brunswick High","Black",78.2,21.8
"Brunswick County Public Schools","Brunswick High","Economically Disadvantaged",74.8,25.2
"Brunswick County Public Schools","Brunswick High","English Learners",50,50
"Brunswick County Public Schools","Brunswick High","Female",83,17
"Brunswick County Public Schools","Brunswick High","Hispanic",90,10
"Brunswick County Public Schools","Brunswick High","Homeless",NA,NA
"Brunswick County Public Schools","Brunswick High","Male",74.9,25.1
"Brunswick County Public Schools","Brunswick High","Multiple Races",100,0
"Brunswick County Public Schools","Brunswick High","Students with Disabilities",81.3,18.7
"Brunswick County Public Schools","Brunswick High","White",79.3,20.7
"Brunswick County Public Schools","James S. Russell Middle","All Students",96.4,3.6
"Brunswick County Public Schools","James S. Russell Middle","Asian",100,0
"Brunswick County Public Schools","James S. Russell Middle","Black",95.7,4.3
"Brunswick County Public Schools","James S. Russell Middle","Economically Disadvantaged",95.4,4.6
"Brunswick County Public Schools","James S. Russell Middle","English Learners",100,0
"Brunswick County Public Schools","James S. Russell Middle","Female",97.5,2.5
"Brunswick County Public Schools","James S. Russell Middle","Hispanic",100,0
"Brunswick County Public Schools","James S. Russell Middle","Male",95.3,4.7
"Brunswick County Public Schools","James S. Russell Middle","Multiple Races",50,50
"Brunswick County Public Schools","James S. Russell Middle","Students with Disabilities",95,5
"Brunswick County Public Schools","James S. Russell Middle","White",100,0
"Brunswick County Public Schools","Meherrin Powellton Elementary","All Students",89.9,10.1
"Brunswick County Public Schools","Meherrin Powellton Elementary","Asian",100,0
"Brunswick County Public Schools","Meherrin Powellton Elementary","Black",89.5,10.5
"Brunswick County Public Schools","Meherrin Powellton Elementary","Economically Disadvantaged",93.3,6.7
"Brunswick County Public Schools","Meherrin Powellton Elementary","English Learners",95.2,4.8
"Brunswick County Public Schools","Meherrin Powellton Elementary","Female",90.2,9.8
"Brunswick County Public Schools","Meherrin Powellton Elementary","Hispanic",100,0
"Brunswick County Public Schools","Meherrin Powellton Elementary","Male",89.7,10.3
"Brunswick County Public Schools","Meherrin Powellton Elementary","Multiple Races",100,0
"Brunswick County Public Schools","Meherrin Powellton Elementary","Students with Disabilities",78.8,21.2
"Brunswick County Public Schools","Meherrin Powellton Elementary","White",87,13
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","All Students",90.8,9.2
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","American Indian",NA,NA
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","Black",92.7,7.3
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","Economically Disadvantaged",91.9,8.1
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","English Learners",100,0
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","Female",95.2,4.8
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","Hispanic",100,0
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","Male",86.7,13.3
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","Multiple Races",55.6,44.4
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","Students with Disabilities",84,16
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary","White",89.8,10.2
"Brunswick County Public Schools","Totaro Elementary","All Students",83.5,16.5
"Brunswick County Public Schools","Totaro Elementary","Asian",0,100
"Brunswick County Public Schools","Totaro Elementary","Black",83.5,16.5
"Brunswick County Public Schools","Totaro Elementary","Economically Disadvantaged",82.8,17.2
"Brunswick County Public Schools","Totaro Elementary","English Learners",100,0
"Brunswick County Public Schools","Totaro Elementary","Female",83.2,16.8
"Brunswick County Public Schools","Totaro Elementary","Hispanic",83.3,16.7
"Brunswick County Public Schools","Totaro Elementary","Male",83.8,16.2
"Brunswick County Public Schools","Totaro Elementary","Multiple Races",76.5,23.5
"Brunswick County Public Schools","Totaro Elementary","Students with Disabilities",72.7,27.3
"Brunswick County Public Schools","Totaro Elementary","White",94.7,5.3
"Buchanan County Public Schools","Council Elementary/Middle","All Students",91.4,8.6
"Buchanan County Public Schools","Council Elementary/Middle","Economically Disadvantaged",87.2,12.8
"Buchanan County Public Schools","Council Elementary/Middle","Female",91,9
"Buchanan County Public Schools","Council Elementary/Middle","Hispanic",100,0
"Buchanan County Public Schools","Council Elementary/Middle","Male",91.9,8.1
"Buchanan County Public Schools","Council Elementary/Middle","Students with Disabilities",97.1,2.9
"Buchanan County Public Schools","Council Elementary/Middle","White",91.3,8.7
"Buchanan County Public Schools","Council High ","All Students",85.9,14.1
"Buchanan County Public Schools","Council High ","Economically Disadvantaged",85,15
"Buchanan County Public Schools","Council High ","Female",87.9,12.1
"Buchanan County Public Schools","Council High ","Male",83.9,16.1
"Buchanan County Public Schools","Council High ","Students with Disabilities",78.6,21.4
"Buchanan County Public Schools","Council High ","White",85.9,14.1
"Buchanan County Public Schools","Grundy High","All Students",82.1,17.9
"Buchanan County Public Schools","Grundy High","Economically Disadvantaged",76.6,23.4
"Buchanan County Public Schools","Grundy High","English Learners",100,0
"Buchanan County Public Schools","Grundy High","Female",81.6,18.4
"Buchanan County Public Schools","Grundy High","Hispanic",0,100
"Buchanan County Public Schools","Grundy High","Male",82.5,17.5
"Buchanan County Public Schools","Grundy High","Multiple Races",50,50
"Buchanan County Public Schools","Grundy High","Native Hawaiian",NA,NA
"Buchanan County Public Schools","Grundy High","Students with Disabilities",78.8,21.2
"Buchanan County Public Schools","Grundy High","White",82.4,17.6
"Buchanan County Public Schools","Hurley Elementary/Middle","All Students",84.6,15.4
"Buchanan County Public Schools","Hurley Elementary/Middle","Black",100,0
"Buchanan County Public Schools","Hurley Elementary/Middle","Economically Disadvantaged",82.9,17.1
"Buchanan County Public Schools","Hurley Elementary/Middle","Female",83.3,16.7
"Buchanan County Public Schools","Hurley Elementary/Middle","Male",85.8,14.2
"Buchanan County Public Schools","Hurley Elementary/Middle","Students with Disabilities",84.5,15.5
"Buchanan County Public Schools","Hurley Elementary/Middle","White",84.5,15.5
"Buchanan County Public Schools","Hurley High","All Students",81.1,18.9
"Buchanan County Public Schools","Hurley High","Economically Disadvantaged",81.3,18.7
"Buchanan County Public Schools","Hurley High","Female",84.7,15.3
"Buchanan County Public Schools","Hurley High","Male",77.9,22.1
"Buchanan County Public Schools","Hurley High","Students with Disabilities",81.1,18.9
"Buchanan County Public Schools","Hurley High","White",81.1,18.9
"Buchanan County Public Schools","Riverview Elementary/Middle","All Students",86.4,13.6
"Buchanan County Public Schools","Riverview Elementary/Middle","American Indian",NA,NA
"Buchanan County Public Schools","Riverview Elementary/Middle","Asian",100,0
"Buchanan County Public Schools","Riverview Elementary/Middle","Black",66.7,33.3
"Buchanan County Public Schools","Riverview Elementary/Middle","Economically Disadvantaged",82.7,17.3
"Buchanan County Public Schools","Riverview Elementary/Middle","English Learners",66.7,33.3
"Buchanan County Public Schools","Riverview Elementary/Middle","Female",87.6,12.4
"Buchanan County Public Schools","Riverview Elementary/Middle","Hispanic",66.7,33.3
"Buchanan County Public Schools","Riverview Elementary/Middle","Male",85.3,14.7
"Buchanan County Public Schools","Riverview Elementary/Middle","Native Hawaiian",NA,NA
"Buchanan County Public Schools","Riverview Elementary/Middle","Students with Disabilities",84.5,15.5
"Buchanan County Public Schools","Riverview Elementary/Middle","White",86.5,13.5
"Buchanan County Public Schools","Twin Valley Elementary/Middle","All Students",86.9,13.1
"Buchanan County Public Schools","Twin Valley Elementary/Middle","Black",0,100
"Buchanan County Public Schools","Twin Valley Elementary/Middle","Economically Disadvantaged",85.2,14.8
"Buchanan County Public Schools","Twin Valley Elementary/Middle","Female",88.7,11.3
"Buchanan County Public Schools","Twin Valley Elementary/Middle","Hispanic",100,0
"Buchanan County Public Schools","Twin Valley Elementary/Middle","Male",85.5,14.5
"Buchanan County Public Schools","Twin Valley Elementary/Middle","Multiple Races",100,0
"Buchanan County Public Schools","Twin Valley Elementary/Middle","Students with Disabilities",85.4,14.6
"Buchanan County Public Schools","Twin Valley Elementary/Middle","White",87,13
"Buchanan County Public Schools","Twin Valley High","All Students",91.9,8.1
"Buchanan County Public Schools","Twin Valley High","Black",100,0
"Buchanan County Public Schools","Twin Valley High","Economically Disadvantaged",89.9,10.1
"Buchanan County Public Schools","Twin Valley High","Female",87.5,12.5
"Buchanan County Public Schools","Twin Valley High","Hispanic",100,0
"Buchanan County Public Schools","Twin Valley High","Male",96.2,3.8
"Buchanan County Public Schools","Twin Valley High","Multiple Races",50,50
"Buchanan County Public Schools","Twin Valley High","Students with Disabilities",93.8,6.2
"Buchanan County Public Schools","Twin Valley High","White",92.2,7.8
"Buckingham County Public Schools","Buckingham Co Elementary","All Students",90.2,9.8
"Buckingham County Public Schools","Buckingham Co Elementary","Black",96.1,3.9
"Buckingham County Public Schools","Buckingham Co Elementary","Economically Disadvantaged",86.9,13.1
"Buckingham County Public Schools","Buckingham Co Elementary","English Learners",100,0
"Buckingham County Public Schools","Buckingham Co Elementary","Female",92,8
"Buckingham County Public Schools","Buckingham Co Elementary","Hispanic",89.5,10.5
"Buckingham County Public Schools","Buckingham Co Elementary","Homeless",NA,NA
"Buckingham County Public Schools","Buckingham Co Elementary","Male",88.3,11.7
"Buckingham County Public Schools","Buckingham Co Elementary","Multiple Races",82.6,17.4
"Buckingham County Public Schools","Buckingham Co Elementary","Students with Disabilities",78.6,21.4
"Buckingham County Public Schools","Buckingham Co Elementary","White",87.5,12.5
"Buckingham County Public Schools","Buckingham Co Primary","All Students",83.2,16.8
"Buckingham County Public Schools","Buckingham Co Primary","American Indian",NA,NA
"Buckingham County Public Schools","Buckingham Co Primary","Black",86.8,13.2
"Buckingham County Public Schools","Buckingham Co Primary","Economically Disadvantaged",76.4,23.6
"Buckingham County Public Schools","Buckingham Co Primary","Female",85.1,14.9
"Buckingham County Public Schools","Buckingham Co Primary","Hispanic",80,20
"Buckingham County Public Schools","Buckingham Co Primary","Homeless",NA,NA
"Buckingham County Public Schools","Buckingham Co Primary","Male",81.4,18.6
"Buckingham County Public Schools","Buckingham Co Primary","Multiple Races",80,20
"Buckingham County Public Schools","Buckingham Co Primary","Students with Disabilities",77.6,22.4
"Buckingham County Public Schools","Buckingham Co Primary","White",82.1,17.9
"Buckingham County Public Schools","Buckingham County High","All Students",78.4,21.6
"Buckingham County Public Schools","Buckingham County High","Asian",33.3,66.7
"Buckingham County Public Schools","Buckingham County High","Black",80.6,19.4
"Buckingham County Public Schools","Buckingham County High","Economically Disadvantaged",72.2,27.8
